"Id","Rep","SalinityLevel","Stress","best_model_name","best_aicc","term","estimate","std.error","statistic","p.value"
"I18","1",0,"5.5","fits_baranyi_without_lag",-74.8545241371346,"log10_nmax",-1.23276063108561,0.0272739722026642,-45.1991599142712,1.29808875286174e-21
"I18","1",0,"5.5","fits_baranyi_without_lag",-74.8545241371346,"log10_n0",-1.36019404885697,0.0225696637384596,-60.2664738216345,4.28566075838474e-24
"I18","1",0,"5.5","fits_baranyi_without_lag",-74.8545241371346,"mumax",0.00113809298526956,0.000660784273691356,1.72233666959385,0.100438423387802
"I18","1",5,"5.5","fits_baranyi_without_lag",-24.3146776772021,"log10_nmax",-1.17487027810701,0.040482545790766,-29.0216500755492,4.94885798145575e-19
"I18","1",5,"5.5","fits_baranyi_without_lag",-24.3146776772021,"log10_n0",-1.36371514503264,0.10704652356582,-12.7394622413322,1.25027731102368e-11
"I18","1",5,"5.5","fits_baranyi_without_lag",-24.3146776772021,"mumax",0.00322663424885611,0.00376486784678791,0.857037851038781,0.400663773909318
"I18","1",10,"5.5","fits_buchanan_without_lag",-28.1572666895392,"log10_nmax",-1.14227383364263,0.0290810175368117,-39.2790187687451,2.08781016183651e-20
"I18","1",10,"5.5","fits_buchanan_without_lag",-28.1572666895392,"log10_n0",-1.38381465734219,0.0721865626530088,-19.1699757750483,2.42189579931667e-14
"I18","1",10,"5.5","fits_buchanan_without_lag",-28.1572666895392,"mumax",0.00118333681573722,0.000861953798545057,1.37285411089857,0.184996497116592
"I18","1",15,"5.5","fits_baranyi_without_lag",-24.7727533341591,"log10_nmax",-1.19349683556473,0.0366392508542076,-32.5742696081263,1.83278370915482e-19
"I18","1",15,"5.5","fits_baranyi_without_lag",-24.7727533341591,"log10_n0",-1.2878429247987,0.119712025142594,-10.7578409375725,5.31126719774592e-10
"I18","1",15,"5.5","fits_baranyi_without_lag",-24.7727533341591,"mumax",0.00346453123467004,0.00801119551330602,0.432461201192219,0.669814779152503
"I18","1",20,"5.5","fits_baranyi_without_lag",-36.2778441822401,"log10_nmax",-1.23579190770514,0.0264690232875741,-46.6882322886952,2.71725436329721e-24
"I18","1",20,"5.5","fits_baranyi_without_lag",-36.2778441822401,"log10_n0",-1.37469050866259,0.0843490967298071,-16.297631651778,3.9731838545602e-14
"I18","1",20,"5.5","fits_baranyi_without_lag",-36.2778441822401,"mumax",0.00510735589214408,0.00723156214919831,0.706259005560822,0.487120418898489
"I18","1",25,"5.5","fits_baranyi_without_lag",-64.262598046754,"log10_nmax",-1.1362425429116,0.0427979679897266,-26.5489834280064,1.75217589655981e-16
"I18","1",25,"5.5","fits_baranyi_without_lag",-64.262598046754,"log10_n0",-1.33130671696103,0.0266481018625464,-49.9587821987487,1.26353207891865e-21
"I18","1",25,"5.5","fits_baranyi_without_lag",-64.262598046754,"mumax",0.00100044899481466,0.000531527730736424,1.88221411031284,0.0752148768825706
"I18","1",30,"5.5","fits_baranyi_without_lag",-101.792247704295,"log10_nmax",-1.18270646712562,0.0375073703246186,-31.5326416352182,3.32214886469024e-17
"I18","1",30,"5.5","fits_baranyi_without_lag",-101.792247704295,"log10_n0",-1.32925389763031,0.00832198781740543,-159.727931210159,7.98459952707717e-30
"I18","1",30,"5.5","fits_baranyi_without_lag",-101.792247704295,"mumax",0.000559111627941071,0.00024702357403204,2.26339380818995,0.0362068438141675
"I18","1",35,"5.5","fits_buchanan_without_lag",-84.9792090507972,"log10_nmax",-1.22190907666402,0.016985426774901,-71.9386738324179,1.4431711419667e-22
"I18","1",35,"5.5","fits_buchanan_without_lag",-84.9792090507972,"log10_n0",-1.33826223802635,0.0102156961354493,-131.000591666238,5.52128772053935e-27
"I18","1",35,"5.5","fits_buchanan_without_lag",-84.9792090507972,"mumax",0.000108167641879108,2.03833454030231e-05,5.30666775940839,5.79837132436681e-05
"I18","2",0,"5.5","fits_buchanan_without_lag",-56.3122746702589,"log10_nmax",-1.26392606927799,0.0137508210759761,-91.9164071944894,1.64721439376558e-25
"I18","2",0,"5.5","fits_buchanan_without_lag",-56.3122746702589,"log10_n0",-1.35567650510307,0.0390404709239664,-34.7249014424885,6.01405618295399e-18
"I18","2",0,"5.5","fits_buchanan_without_lag",-56.3122746702589,"mumax",0.000305187567280137,0.000253097057349362,1.2058123886398,0.243501683719052
"I18","2",5,"5.5","fits_baranyi_without_lag",-27.5234363583135,"log10_nmax",-1.17336412068066,0.0335131545480709,-35.012046359217,8.67405488625429e-21
"I18","2",5,"5.5","fits_baranyi_without_lag",-27.5234363583135,"log10_n0",-1.36521831023726,0.110457206641319,-12.3597033797029,2.24990790776543e-11
"I18","2",5,"5.5","fits_baranyi_without_lag",-27.5234363583135,"mumax",0.00403351880743576,0.00463301709519526,0.870603048630833,0.393371814371841
"I18","2",10,"5.5","fits_buchanan_without_lag",-23.7974446798427,"log10_nmax",-1.18946590737665,0.0300881802009365,-39.5326636384485,1.19175869973644e-22
"I18","2",10,"5.5","fits_buchanan_without_lag",-23.7974446798427,"log10_n0",-1.38399224149281,0.106549593721565,-12.9891836576069,4.47704945601434e-12
"I18","2",10,"5.5","fits_buchanan_without_lag",-23.7974446798427,"mumax",0.0010905362945822,0.0011787995413636,0.925124464606346,0.36450665763874
"I18","2",15,"5.5","fits_buchanan_without_lag",-30.2937423315029,"log10_nmax",-1.17015503046578,0.0298269171830163,-39.2315110303143,2.13832803060324e-20
"I18","2",15,"5.5","fits_buchanan_without_lag",-30.2937423315029,"log10_n0",-1.33208257396749,0.0692462214334679,-19.2368990883836,2.26658567481747e-14
"I18","2",15,"5.5","fits_buchanan_without_lag",-30.2937423315029,"mumax",0.000525143590045907,0.0004497220162064,1.16770709709905,0.256657832838079
"I18","2",20,"5.5","fits_baranyi_without_lag",-35.0771835689543,"log10_nmax",0,51.7411236970683,0,1
"I18","2",20,"5.5","fits_baranyi_without_lag",-35.0771835689543,"log10_n0",-1.29749830957615,0.0456598908003598,-28.4165881002485,4.96313322005733e-17
"I18","2",20,"5.5","fits_baranyi_without_lag",-35.0771835689543,"mumax",0.000113331043532995,0.00086337948163051,0.131264462434255,0.896946064697201
"I18","2",25,"5.5","fits_buchanan_without_lag",-46.7104236584063,"log10_nmax",-1.159611479132,0.0376331127917794,-30.8135945476534,2.48331814872551e-18
"I18","2",25,"5.5","fits_buchanan_without_lag",-46.7104236584063,"log10_n0",-1.33055737780514,0.030606476336534,-43.4730663920595,2.80706495265486e-21
"I18","2",25,"5.5","fits_buchanan_without_lag",-46.7104236584063,"mumax",0.000212100688073062,8.34386539139534e-05,2.54199556349257,0.0194075002787993
"I18","2",30,"5.5","fits_buchanan_without_lag",-60.867506045895,"log10_nmax",-1.26675740394587,0.0122781007871659,-103.172096882442,1.38140278739331e-27
"I18","2",30,"5.5","fits_buchanan_without_lag",-60.867506045895,"log10_n0",-1.34390495690184,0.0449576821740815,-29.8926655448579,1.93466333770635e-17
"I18","2",30,"5.5","fits_buchanan_without_lag",-60.867506045895,"mumax",0.000377954980236327,0.000477624080911811,0.791323124903565,0.43852302921664
"I18","2",35,"5.5","fits_buchanan_without_lag",-64.048414558605,"log10_nmax",-1.27913063121085,0.0108337960282581,-118.068553983706,3.22555172022239e-26
"I18","2",35,"5.5","fits_buchanan_without_lag",-64.048414558605,"log10_n0",-1.35961132655702,0.0297156726579799,-45.7540147990527,3.04485324104173e-19
"I18","2",35,"5.5","fits_buchanan_without_lag",-64.048414558605,"mumax",0.000289638657174916,0.000192644934857854,1.50348441493481,0.151064176929372
"I18","3",0,"5.5","fits_buchanan_without_lag",-51.6458158957412,"log10_nmax",-1.25760644537722,0.0159070349321155,-79.0597651129931,2.14748210307188e-25
"I18","3",0,"5.5","fits_buchanan_without_lag",-51.6458158957412,"log10_n0",-1.34384116489218,0.0466433873595346,-28.8109685202243,3.84131898281101e-17
"I18","3",0,"5.5","fits_buchanan_without_lag",-51.6458158957412,"mumax",0.000304478556938991,0.00030238632759337,1.00691906066743,0.326625877186954
"I18","3",5,"5.5","fits_baranyi_without_lag",-23.6767497295612,"log10_nmax",-1.14528194265945,0.041449138798329,-27.6310190238651,3.81755286249642e-19
"I18","3",5,"5.5","fits_baranyi_without_lag",-23.6767497295612,"log10_n0",-1.39451630370412,0.0873915568793504,-15.9571056232507,6.21726965735508e-14
"I18","3",5,"5.5","fits_baranyi_without_lag",-23.6767497295612,"mumax",0.00318010005847438,0.00254164865568417,1.25119577458607,0.223440684872139
"I18","3",10,"5.5","fits_buchanan_without_lag",-26.2161810888843,"log10_nmax",-1.2165410341477,0.0301310383533118,-40.3750119688122,2.75738575566586e-24
"I18","3",10,"5.5","fits_buchanan_without_lag",-26.2161810888843,"log10_n0",-1.37265409898724,0.0837334460597706,-16.3931399408477,6.93845041559556e-15
